timestamp,test-class,test-method,time,description,result
2021-11-25 22:11:57.244,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,31233,"[1] title=Title of task 06, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2020/06/11 19:39, description=Description of task 06, optionalLink=https://www.google.com, iter=0",Cannot find 'By.linkText: Officer'
2021-11-25 22:12:28.747,acme.testing.officer.CreateDutyOfficerTest,positiveCreateDuties,31276,"[1] title=Title of task 05, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/06/11 19:39, description=Description of task 05, optionalLink=https://www.google.com, iter=0",Cannot find 'By.linkText: Officer'
2021-11-25 22:13:08.99,acme.testing.officer.ShowDutiesOfficerTest,positiveShowduty,31232,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",Cannot find 'By.linkText: Officer'
2021-11-25 22:13:40.441,acme.testing.officer.ShowDutiesOfficerTest,positiveShowduty,31231,"[2] title=Title of task 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of task 02, optionalLink=https://www.google.com, iter=1",Cannot find 'By.linkText: Officer'
