timestamp,test-class,test-method,time,description,result
2021-06-09 18:44:48.035,acme.testing.anonymous.PublishShoutAnonymousTest,positivePublishShout,31292,"[1] author=Antonio, text=Me gusta la cocacola, info=https://www.cocacola.es/es/home/, bow=www-123456-ww, budget=EUR 123",Cannot find 'By.id: infoId.budget'
2021-06-09 18:44:50.323,acme.testing.anonymous.PublishShoutAnonymousTest,negativePublishShout,2041,"[1] author=Antonio, text=Me gusta la cocacola, info=https://www.cocacola.es/es/home/, bow=www-123456-ww, budget=EUR -123",OK
